Job_Title,Total_monetary_compensation
"Project Developer",79000
"Email Marketing Director",91497
"Project Manager/Analyst",82919
"Provider Data Analyst",63000
"Provider Data Specialist III",54200
"Quality Systems Manager",88000
"Records Specialist",89994
"Head of Engineering",115000
"Security Automation Engineer",104497
"Senior Audit Group Manager",143500
SDET,459288
"Senior Applications Architect",134000
"Senior Benefits Specialist",78497
"Senior Campaign Director",118497
"Senior Civil Project Manager",205000
"Senior Demand Planner",102300
"Senior Developer Advocate",336000
"Senior Email Specialist",113000
"Senior Front End Web Developer",123497
"Senior Health Data Analyst",105500
"Senior manager of sales ",70497
"Senior Medical Copy Editor",102500
"Senior Payroll and Benefits Specialist",64375
"Senior Product Design Manager",168497
"Senior Product Designer (UX)",134000
"Senior software developer (freelance)",169497
"Senior Production Designer",73497
"Archivist and Records Manager",75768
"Senior Software Analyst",184000
"Senior Strategic Business Developer",129250
"Senior Support Analyst",84000
"Senior Technical Support Manager",156000
"Software Quality Assurance and Release Manager",94497
"Special Events Manager ",48568
"Sr. Network Engineer ",100497
"Congregational Administrator",62997
"Super sub, Tech Assistant, After School Instructor ",49497
"Superintendent ",193500
"Director of Music and Worship",67497
Minister,158994
"Supervisor Clinical Research Support",75826
"Tech Support Tier 1",65497
"Technical project manager ",103497
"US Service Delivery Team Lead",99497
"UX Product Design Lead",128500
"Vendor Contract Manager",98000
"Design Project Manager",104497
"Director, Demand Generation",190000
"Senior Manager, User Experience",210000
"Policy Publications Editor",88497
"Sr. Salesforce Administrator",123497
"Emergency Management Specialist ",114000
"In House Attorney",91000
"Engineering Team Lead",575500
"Platform Engineering Manager",64000
"Creative Services Specialist",72077
"Instructional Designer ",162497
"Head of HR",449000
"Assistant Quality Manager ",85597
"Associate Project Manager ",80000
"Broadcast Journalist ",53497
Doctor,204836
"Director, New Product Development",108207
"E-Commerce Merchandiser ",66497
"Epidemiologist ",86400
"Industrial engineer ",127000
"Licensed clinical social worker ",180494
"Operations Manager and Executive Assistant",140500
"Research Assistant, Sr",64859
"Production Fabricator ff",45860
"Program Manager Child and Family ",77497
"Project surveyor ",75897
"Chief Executive Officer",13547
"Senior Technical Lead Project Manager",172900
"Social Services Specialist ",63000
"Standardized Patient Educator ",86960
"Statistical Programmer",101000
"Training and Quality Assurance Coordinator",68374
"SVP, Marketing and Communications",120000
"Senior Success Engineer II",108000
"Junior Architect",30797
"Manager of Quality Systems",138600
"Grant Financial Analyst",92497
"Telescope Operator",21000
"Director of Studies",38497
"Operations Assistant ",47817
"Social Media and Content Marketing Manager",131994
"Engineering Supervisor ",115000
"Deputy Assisstant Director",77497
"Representative ",48000
"Shop Leader",100000
"Senior Manager, Marketing Operations",150000
"Grant Director",75497
"Advisory Software Engineer",151497
Server/Manager,63497
"Technology Instructor",70614
"Recreation Director",61497
"Foundation Assistant",46777
"Senior Archivist ",71000
"Shipping Specialist",40466
"Research Associate III",121497
"Strategy Project Manager",53297
"Senior Clinical lead",67500
"Assessment Developer ",83500
"Category Buyer",132000
"DevOps Manager",138000
"Complaint Coordinator, Global Markets",91497
"Director of Marketing ",89000
"Conservator ",90497
"General Counsel ",110000
"Process Specialist III",90500
"Librarian III/Supervisor of Community Services ",70028
"Senior Research Specialist",68497
"Accounts Manager",49025
"Clinical Research Assistant ",55422
"Frontend Programmer",27897
"Field Service Technician ",76500
"Grant and Finance Specialist",101047
"Head Baker",40500
"Production Color Quality Engineer",85497
"Assistant Director of annual fundraising",84000
"Commercial Lending Credit Manager",170000
"Director of Enrollment Management",123497
"Research Development Specialist",95497
"Senior Manager, Events and Special Projects",86497
"Senior Operations Consultant",63400
"Software Developer in Test",138497
"Research Technologist 1",50497
"Research Compliance Manager",83497
"marketing designer",129600
"Associate teaching professor ",114497
"Compensation Analyst ",71613
"Executive Assistant for Human Resources",64497
Typist,55497
"Conservation Coordinator",70494
"Associate Production Planning Manager",70500
"Web Services Librarian",62497
Trader,160000
"GIS Coordinator",78100
"Chief Accountant",91497
"Sr. Payroll Specialist ",103497
"Senior Program Analyst",504766
"Senior Logistics Analyst",180497
"Export manager",33400
"IT - CRM Admin",68497
"3D Character Artist",34497
"Translator ",21497
"Manager of Membership Engagement",81497
"Quality Assurance Laboratory Manager",93000
"Senior Principal System Analyst",60000
"Senior Account Manager ",280000
"Research Lab Manager",76497
"Artistic Planning Manager",54997
"Petroleum Engineer",238497
"Assistant Theatre Manager",43497
"Warehouse Manager",122994
"Information and Assistance Specialist ",57177
"Senior Government Relations Coordinator",67500
"Legal Strategist",90500
"R&D specialist II",90497
"Manager, Government and Community Strategy ",96800
"Senior Clinical Research Assistant ",62497
"Fiscal Analyst II",86497
"Recreation Program Specialist",58497
"Vocational Rehabilitation Counselor",86500
"Customer Success Operations Analyst",82000
"Support Tech",38500
"Assistant Director, Gifts and Record Management",80497
"Senior Clinical Research Assoicate",154000
"Associate Head, Library",103497
"Associate Research Professor",120000
"Senior Manager, Editorial",174000
"Business Immigration Paralegal",58000
"Central Office Administrator",100497
"Cognitive implementation engineer",88000
"Communications Senior Manager",163497
"Cost Accountant",84500
"Digital Strategy Consultant",159497
"Director of DevOps Engineering",174000
"Director UX Design",193000
"Email Production Manager",85497
"Engineer, Risk Management",114000
"Engineering Consultant",79574
"Forensic Chemist",57700
"Group Leader, Crop Protection Environmental and Human Safety",87500
"Highway Engineer",171497
"Institutional Investor ",93000
"Insurance agent ",58497
"Pro Bono Coordinator",42497
"Investment Comm Specialist",77497
"Wissenschaftlicher Mitarbeiter",138497
"Lead QA Engineer",134497
"Loan Operations Manager",84497
"Manager of Market Research and Data",93497
"Manager People Operations ",82500
"Marketing and Program Manager",76500
"OSP Engineer",89500
"OSP Engineer II",90000
"People Analytics and Reporting Manager",154000
"Advocacy and Policy Officer",80597
"Senior Regional Director",109000
"Technology Support Technician",66497
"Sr. Infrastructure Engineer",121000
"Supplier Concierge",39500
"Programme Officer",175494
"Task Manager",74649
"Tech Support Specialist",69497
"Senior User Experience Engineer",127000
"Research Project Manager II",120497
"Lead Project Analyst/Engineer ",111497
"University Library Technician",63497
"Office Chief ",94497
"Business Administration Management",76000
"Director of Training (for a statewide Org)",83497
"HR Specialist ",258671
"Leasing Consultant",44697
"Marketing Assistant ",41500
"Senior Manager Quality Assurance",140000
"VP, Learning and Development ",180000
"Staff Scientist/Engineer I",91550
"Engineering Student Trainee",42497
Judge,144497
"Associate Professor, Library",73847
"Associate Director, Learning and Development ",94000
"Corp HR / Payroll / Benefits",76497
"Assistant Technical Director",56497
"Rate Analyst",70000
"Responsible for an external-facing unit",175000
"VM Backoffice Coordinator",4055
"CRM Marketing Manager",131497
"Outreach Services",65497
"Co-founder / Software Engineer",133497
"Computer Science PhD Student",93817
"Executive Assistant and Project Coordinator",59298
"Machine learning model developer",140000
"Customer Success Engagement Manager",71997
"Restaurant Manager ",45000
"Software Developer / Consultant",133497
"Product Manager II",320497
"Construction Project Engineer",71500
"Executive business administrator ",110000
"Lead Test Engineer",142600
"Organized Play Associate",53697
"Project Manager Specialist",178497
"Sr. Business Process Manager",198000
"Senior Hardware Lifecycle Manager II",153497
"Staff Scientist ",169497
"COVID Case Investigation Supervisor",103497
"Actuarial developer",128000
"Systems Support Analyst",66000
"Supervising Victim Advocate",99629
"Assistant Director of Direct Marketing",97300
"Online Grocery Associate",44697
"Senior Program Associate ",156994
"Lead Developer ",211994
"Head of Platform",165000
"Full Stack Developer ",98000
"Desktop Supporter",103000
"3rd Line Technical Analyst",53000
"Senior Planning Engineer",56500
"Senior Quality Analyst",40800
"Key holder/lead supervisor",29295
"Senior Designer ",74497
"Marine Project Officer",41443
"Part Time School Teacher/Part time Senior Education Officer",60497
"Field application specialist NGS automation",58600
"Executive Search Associate/Consultant",92500
"Associate Social Producer",71497
"Locum doctor",103497
"Recovery Worker",18742
"Senior Purchasing and Inventory Coordinator",43250
"Senior FP&A (Financial Planing and Analysis) Analyst",65897
"Senior Manager Service Delivery",88497
"PA to director ",37500
"Yarn Wrangler",34297
"Senior Editor II",97000
"Assistant Accountant",45497
"Graduate Software Engineer",30500
"Applicaion Developer III",85497
"Application Support Specialist II",98497
"Import Coordinator and Business Analyst",63000
"Senior Softwaare Engineer (Web)",13562
"Fulfillment Expert",44697
"Associate Publisher",73497
"Logistics Asst",52000
"Business Operations (Data Analyst)",122000
"Engineering Associate II",64000
"Curriculum Engineer ",73800
"General Practitioner",72250
"Director of Partnerships",63497
"Disaster Preparedness Specialsi",76250
"Best Buy Sales Advisor",44697
"Documentation and Community Manager",93497
"Global Transcript Evaluator",53818
"Graphic Designer/Art Director",51000
Dentist,163497
"Executive Director - School Level",131000
"Freelance Technical Writer",93497
"Global Operations Manager",133000
"Grocery Clerk",40997
"HR Product Manager",111300
"Information Technology Specialist",60747
"Instructional Designer/LMS Admin",70300
"IT Manager, Financial Systems",137497
"Senior Solution Analyst",114500
"Junior Software Engineer",234427
"Junior Staff Writer",75000
"Meeting and Events Housing Specialist",61497
"Manager, Sales Engineering",225000
"Full Time Assistant Manager",39497
"Marketing and Business Development Manager",103497
"Marketing and Sales",75897
"National operations manager",105000
"Assistant Script Editor",38997
"Department Manager - Grocery Store ",71497
"marketing Project Manager ",191894
"Product Manager Lead",125000
"Lead Instructional Designer",101900
"Quality Review and Audit Sr. Analyst",55800
"Resources Coordinator",73497
"Customer Service Specialist ",53497
"Revenue Operations Asaociate",68497
"Ruby on Rails Developer",143497
"Salesforce administrator/developer",134500
"Remote Manager/Online Customer Service",42497
"Senior Creative Project Manager",88020
"Senior Director, Product Management",200000
"Senior Donor Advisor",88497
"Senior Manager, Content Acquisition",113497
"Senior Event Marketing Manager",133497
"Senior Manager, Internal Communications",185000
"Commercial Developer",36850
"Social Media Communications ",150000
"Software Support Specialist",63000
"Software Engineer (SE1)",141000
"Sr. FP&A Analyst",158497
"Businesses Development and Communications Coordinator ",61497
"Sr. Key Account Manager",157000
"Sr. Recruiting is ",120000
"System Consultant",85497
"US Trademark Attorney",138497
"Trim Manager",79900
"Director of Curriculum",115497
"HR Adviser",97653
"Field Director ",117083
"Insurance Fraud Analyst",108497
"Interactive Writer ",88497
"Area Sales Manager",200494
"Senior Compliance Manager",259000
"Personal Shopper",39597
"HR Analyst ",89497
"Technology systems developer",92100
"Volunteer Coordinator ",53017
"Fiscal and HR Officer",84497
Hydrogeologist,80200
"Principal Carrier Support Analyst",120000
"Staff Controls Engineer",141497
"Vice President Credit ",157500
"Senior Examiner (Claims)",91000
"Plant Accounting Manager",123197
"Home Depot Pro Account Sales Associate ",46900
"Process operator chemical",65497
"Aerospace Machinist ",85400
"Senior IRB Analyst",81497
"Procurement Category Manager",68497
"Pricing Associate",70997
"Research Integrity Officer",44667
"Materials Developer",88607
"Senior Manager II, People Operations",141000
"Technology Consulting Manager",142400
"Membership and Student Academy Specialist",54497
"VP Growth Strategy",160000
"Senior Conference Director",103497
"Infrastructure Engineer",236397
Detective,89200
"Camp Director",47000
"Senior Paralegal ",86200
"Senior product manager ",195000
"Senior Software Engineer II",140000
"Assistant Retail Manager",41600
"Senior Analyst Programmer",53819
"Nuclear Power Plant Instructor",195000
"Principal Electrical Engineer",173497
"Waste Management Representative",141500
"Administrative Office Associate",62100
"Sr. Business Affairs Manager ",133497
"Administrative Staff Assistant",142392
"Claims Examiner",49800
"Manager of Data Integrity and Prospect Research",78497
"Scientist Manager",99497
"Senior Budget and Management Analyst ",80297
"Senior Plans and Research Analyst",107497
"Supervisory Social Insurance Specialist ",108020
"Client Relationship Consultant",69700
"Sr. Data consultant",115300
"Trainee IT Infrastructure ",29497
"Associate Project manager/Scrum Master",80000
"Store Manager ",381057
"Business Development and Service Manager",63000
"Business Support Manager",82375
"Cash Control Area Manager",70000
"Category Management Specialist",112000
"Trainee Solicitor",136491
"Service Coordinator",44250
"Content Strategist and Writer",70497
"Creative Digital Lead",70997
"Cybersecurity Program Coordinator",96497
"Meat cutter",38000
"Wellbeing Officer",30746
"Digital Preservation Librarian",84597
"Shop Manager",86997
"Director of Advocacy and Engagement",82497
"Diversity equity and inclusion associate ",70000
"Energy Performance Expert",100000
"Head of Digital Library",98497
"HIPAA Security Consultant",72000
"HR Recruiter",46777
"Litigation Manager",209500
"Advanced Specialist Speech and Language Therapist",54391
"Member and Donor Coordinator",51997
"Penetration Tester",256497
"Project Accountant",197150
"Sanitation Manager",117000
"Purchasing Card Program Administrator",71000
"Registered Client Services Associate",47000
"Director, People Initiatives",132497
"Patient Services associate",17597
"Security Architect ",176000
"Senior Event Planner",58000
"Senior Student Services Specialist",58274
"Student Services Administrator",68497
"Trust Servicing Analyst",52850
"Junior Data Analyst",78497
"Valuation Actuary",153000
"Shipping clerk",42497
"Associate Director of Design Services",80497
"Pricing Strategy Project Manager",82500
"Sr. IT Manager",112500
"General Manager - Community Associations",97497
"Senior Coordinator",55000
"Manager of Facility Management Operations",46257
"Accounting Associate",120000
"Aquatics Director ",60497
"Global Manager of Sales Operations",144797
"Sales Solution Architect",71500
"Literacy Manager",37038
"Registered client services Associate ",46000
" Vendor Manager",150000
"Governance Manager ",37500
"Sr. Principal Curriculum Developer",139500
"Category manager ",75000
MSW,13575
"QMS Manager",136497
"Graphic Designer and Sign Fabrication",50937
"Records Clerk III",63900
"Academic Evaluations Specialist",75497
"Assistant Customer Service Manager",54000
"Director of Purchasing ",211000
"College and Career Counselor",55097
"Head of UI design ",73497
"Vice President of Employee Services",154160
"Certified Public Accountant",115000
"Community Devlopment",93280
"Assistant Store Leader",65310
"Senior Library Clerk",43199
Genius,61869
"Bioprocess Engineer",85591
"Assistant Director of Health and Counseling Services",73497
"Career Services Advisor",72497
"Career Services Advisor ",53497
CCO,135000
"Order Specialist",36840
"Senior Regulatory Affairs Associate",109000
"Editor at a publishing company",45497
"Sales Associate/Marketing Coordinator",44497
"Sales Lead",79057
"PA to CEO",31000
"Facilities Engineer",103497
Worker,37497
"Programme Delivery Manager",43497
"Lead MES Developer",114000
"Retail Sales Manager",51736
"Manager of Construction",127000
Cashier,174988
"Network Operations Manager",98497
"Internal communications specialist",85000
"Program Aide",65497
"Radio Producer",73994
"Senior Pastor",132497
"Senior health systems engineer",119497
"Senior Mechanical Engineer Team Lead",113497
"Senior RFP Specialist",89600
"Senior Specialist, Operational Excellence",103497
"Senior therapist ",83497
"Specialist Software engineer",103497
"Supervising Attorney",288994
"Supervisor IT Financials and Contract Management",98497
"Trade Compliance Lead",105497
"Training Content Developer",62000
"Vice President of Finance",103550
"Legal Editor",90200
"Teacher and Program Coordinator",78000
"Lab Safety Specialist",53497
"Tenant Services Coordinator ",54377
"Retail Associate",68482
"Program Acquisition Coordinator",72000
"External Clients Manager",34600
"Field Service Technician",158999
"Director of Christian Education",51497
"Appliance Specialist",33530
"Payroll and Benefits Analyst",85660
"Professional Horse Trainer",55097
"Head of Data and Analytics",113497
"Eligibility Specialist ",52185
"Global Category Manager",156000
"Data Statistician",110703
"Public Health Analyst",87150
"Automotive Technician ",93497
"Senior Technical Business Analyst",130000
"Corporate Marketing Manager",113497
"Director of Content and Brand",100000
"Group Fitness Director",55997
"IT Help Desk Site Lead",95497
"Sr. Marketing Manager",278500
"Molecular Scientist",38000
"Senior Technical Product Manager",173497
"Senior Experience Strategist",76645
"Research and Teaching Librarian",89497
"Product Sourcing Specialist",82497
"Senior Associate - Audit",83250
"Senior BI Analyst",205500
"Senior Manager, Operations",554700
"Application Consultant ",85000
"Sr. Director, Membership",175497
"Nature Center Supervisor ",107497
"Statistician ",211497
"Senior Study Director ",135000
"Senior cad specialist",72000
"Divisional Administrative Coordinator",85497
"Sr. Risk Specialist - Cybersecurity ",105000
"Summer Associate",200497
"Senior Mobile Developer",127200
"Assistant Public Defender II",115997
"Billing specialist ",63497
"Full Service Bookkeeper",88497
"Human Director",96497
"Lead Director of Project Development ",125000
"Hr Representative ",73497
"Regional Manager ",291000
"PA to Senior directors ",40997
"District Defender",115482
"Head Clerk",42520
"Laboratory Analyst II",138900
"Passenger Assistant",34297
"Film/TV Teacher",109497
"Senior Analyst, Sourcing",89000
"Project Engineer Team Lead",120000
"Switching Cisco",106000
"Global Advocacy and Campaigns Coordinator",50697
"Senior Manager, Credit Finance ",103550
"County Librarian",158497
"Assistant Professor, tenure-track",58497
AGM,130000
"Business development ",281000
"Teller/customer service/social media ",53497
"Park Superintendent",63897
"Program Architect ",167997
"Administrative Systems Analyst",64997
"Coordinator, Student Volunteer Programs",55997
"Clinical Trials Manager ",62000
"Executive Director of technology and innovation buzzwords",95920
"Head of Digital Communications ",67067
"Senior Research Administrator",95497
"Professor of CIS",77997
"C# developer",46000
"Business and Governance Lead",58497
Framer,29948
"All Purpose Food Clerk",53497
"Apprentice Early Years Assistant",33257
"Doctoral college training coordinator",42673
"Loan Servicing Specialist",45200
"Year Abroad Officer",40997
"Process Controls Engineer",78000
"Engineering Manager/Project Manager",156000
"Demand Forecaster",91800
"Fish Biologist",78867
"Associate Governmental Program Analyst",152609
"Branch Chief ",127000
"IT Specialist I",116497
"Program Technician ",48000
"Research Data Specialist",85497
"Senior Hydroelectric Power Utility Engineer",163497
"Staff Services Manager II",91497
"Tax Auditor",88497
"Deputy Legislative Counsel",133497
"Senior Strategic Sourcing Manager",148000
"Customer Service Co-worker",52497
"Area Coordinator ",108796
"Breastfeeding Promotion Coordinator",56497
"Sustainability and Energy Analyst",39997
"Director level",93497
"Director of Media and Events",77000
"Embedded software engineer ",110497
"Lead Sourcing Recruiter",111497
"Continuous Improvement Lead",39997
"Manager, Public Programs",63497
"Chef ",44697
"Organizing Director",218994
"Regional HR Manager ",88000
"Director of Revenue Management ",75797
"Student Services Professional III",69497
"Supervisor, Communications",113100
"Cashier ",120994
"Sr. Donor Relations Coordinator",57497
"Archaeologist ",78000
"Environmental Program Manager",148780
"Adjunct Professor ",58497
"Corporate Accounting Manager",109000
"Director of Governance, Leadership and Human Resources ",98497
"Intake Representative ",46497
"Director of Data and Reporting",141000
"Senior Environmental Scientist ",85497
"Technical Support Engineer ",226597
"Yard control",46497
"Provider Network Auditor",58700
"Application Engineer",89200
"Assistant Court Clerk",42097
"Public Health Coordinator",74497
"Assistant Director, Benefits",79807
"Department Manager ",60497
"Attorney Manager",121497
"Branch Library Manager",71497
"Collection Development Specialist",58000
"Store Director",66000
"Fast Food Restaurant General Manager",44000
"Sr. Business Manager ",124000
"Senior User Researcher and Service Designer",103000
"Senior Operations Associate ",88000
"Compensation and Benefits Manager ",118497
"Assistant Communications Director",117997
"Legal Aid Staff Attorney",65497
"Registered Engineer",103000
"Consumer Relations Representative",39497
"Architectural Drafting Technician II",77712
"Child Care Center Licensor",81497
"Community Recreation Director",79497
"General Merchandise Buyer",57197
"Management Analyst II",60497
"Youth Services Librarian ",75497
"Research Programmer",83497
"Administrative Assistant/HR",56497
"Adult Education Coordinator",55497
"Benefit payments representative",45677
"Business Intelligence Analyst / Team Lead",133497
"Crisis Resource and Outreach Navigator",43372
"Data and Insights Analyst",77047
"Deputy Director Organizing ",104497
"Lead Customer Service Associate ",42617
"Geospatial Data Technician II",71497
Hostess,37350
"Industrial Hygienist ",126500
"Internship Program Coordinator",59274
"Principal Data Scientist",169500
"Retail Operations Assistant Manager",50497
"Supply Network Planner",102497
"Box office and Admin manager",36497
"Web and Email Cordinator",57197
"Filing Manager",62000
"Emergency Operations Manager",108497
"Content Analyst",102052
"Legislative Director",179594
"Revenue Agent 1",48497
"Postvention Coordinator",76497
"Staff Associate - Transfer Services",73497
"CX Lead and Scrum Master",88500
"Deputy Public Defender",107497
"Design Program Manager",153497
"Testing Specialist",25200
"Editor (Books)",51497
"Employment and HRIS Manager",71497
"Hospitality and Membership Director",68497
"Marketing Coordinator/Analyst",83121
"Processing Archivist and Records Manager",67497
"Director, Donor Relations",113937
"Head Manager",44520
"Senior Customer Support Representative",93497
"Support Technician",50745
"VP Marketing ",93497
"Soil scientist ",108997
"Product Engineer ",74997
"Billing Receivables Specialist ",46960
"Junior Service Manager",32200
"Production Worker ",39497
"Electrician Apprentice ",36000
"Community Program Manager",118497
"HR and payroll manager ",97000
"IT Support Assistant",50000
"Budget Analyst ",87500
"Division Planner",89497
"Civil Litigation Attorney",111497
"Contract/Grant Analyst II",63743
"Director of Purchasing and Contracts",127897
"Farm to School Specialist",69497
"Senior Analyst, Business Transformation Portfolio Lead",108497
"Letter Carrier",80000
"Program Services Coordinator",115697
"Editor, Assessment",42800
"Biologist ",123997
"Accounting and AP Specialist",53000
"Application Architect",162000
"Associate Director of HoU.Sing Operations",98497
"Associate Publications Specialist",45750
"AVP Digital Marketing",114500
"Benefits Analyst",62500
"Quality and training manager",57497
"Campaign management ",76500
"Consumer Insights Specialist",61000
"Control systems engineer ",151000
"Digital Video Producer",56497
"Director of Rooms",68497
"Principal Product Marketing Manager",182820
"Director, Alumni Relations",101497
"Excise Tax Analyst",47298
"PhD Candidate (Graduate Student)",47497
"Grants and Contracts Officer",69497
"Instructor, Psychology",78497
"Interior Stylist",66000
"Junior Chief of Staff",67250
"Manager Salesforce Development",152900
"Field Technician ",62900
"Grocery Stocker",38457
"Registration Specialist ",43157
"Senior Director of Content Marketing",165000
"Tech Writer",363491
"Title Speciaist",51000
"Document Imaging Supervisor ",45497
"Sales Support Manager",73497
"Special Events Assistant ",31177
"Associate Principal",98497
"Inventory Control Specialist ",70000
"Lead UX Designer",62000
"Guest Advocate ",37497
"Engagement and Community Relations",60000
"Office Accountant",86000
"Agile Project Management",94000
"Assistant Professor of History",83497
"Segment Marketing Manager",99000
"Director of Accounting and Finance",122000
"HRIS Support Technician",53497
"Human Resources Compliance Advisor",93497
"IT and Accounting Manager",87500
"Microbiology Laboratory Manager",91497
"Payroll and HR Coordinator",70000
"Programmer Analyst senior",89497
"Associate Merchant",69400
"Research Science/Research",148497
"Senior Claims Examiner",39200
"Social Media Specialist ",43000
"Software test engineer ",69500
"Sr. eDiscovery Project Manager",98497
"Technical Support Specialist I",37497
"Senior Management Analyst",72497
"STEM Education Manager",57497
"Appraiser III",78497
Receiver,49497
"Paid Media Manager",69500
"Security Supervisor",55497
"Manager of Healthcare Audits",96500
"Environmental health specialist II",94388
"Lead Technical Writer/Editor",115497
"US Navy Lieutenant Commander",133497
"Event Coordinator Manager",60240
"Research Technician",64497
"Associate Credit Analyst",59740
"Associate Digital Marketing Manager",102300
"Produce Clerk - Cut Prep",35497
"Business Intelligence Engineer",506897
"Care Professional",46777
"Chief of Operations, University Development",147497
"Pricing Coordinator",107277
"Media Executive",4028
"Physical Inventory and Inventory Control Supervisor ",51700
"Content Developer and Researcher",63497
"Customer Service Specialist, Staff",117000
"Software Licensing Rep",86497
"Digital Design Engineer",106497
"Fundraising Copywriter",62089
"Grant Writer and Communications",98497
"Principal Software Quality Engineer ",155000
"HR/Accounting Assistant",67577
"Consumer Back Office Representative- Financials",48857
"Manager, Budget and Accounting",138393
"Manager, Digital Operations",84297
"Scanning Coordinator",28623
"Reliability Engineer",126000
"Product Flow Supervisor ",55000
"Scholarships Director",137500
"Paid Media Associate ",62000
"Clinical Epidemiologist",81000
Plumber,129997
"Policy Associate",282491
"Purchasing Director",91000
"Quality Rating Specialist",75897
"Sr. Compensation Analyst",97000
"Digital marketing Manager ",34497
"Senior Director of Education",153497
"Senior Manager, Medical Affairs",152000
"Senior Software Engineer, Backend",171497
"Supervisor, Manufacturing Engineering",150000
"Director, Advanced Analytics and Statistics",240000
"Sr. Compliance Analyst ",78800
"Sr. Medical Device Engineer",132000
"Associate Events Manager",42460
"Sr. Sales Compensation Analyst",120000
"Student Affairs Manager",83497
"Visual Analytics Consultant",99497
"Transmission Line Engineer",78497
"Server / Waitress",44697
"Web Development Director",166000
"Wildlife Care Specialist",63000
"Software QA Analyst II",98497
"Principal Business Analyst",287000
"Asset Protection ",79960
"Coordinator of Sales",45737
"Senior Biostatistician",342000
"Pharmacy Contracting Manager",111501
"Associate Director, Procure-to-Pay Technology ",107000
"Store manager for small store, 4 employees ",61000
"Genius Admin",60000
"Manager, Consulting Services",185000
"Strategic marketing supervisor ",88611
"Data Science",222500
"HR and Payroll Manager",115000
"Sr. Implementation manager",168497
"Claims/Risk Management",96000
"Business Support Officer",128497
"AVP, Unit Manager, Communications",169000
"Member- Manager",480000
"Director of Measurement and Learning",113857
"Diversity and Inclusion Specialist",135184
"Business lead ",345000
"Budget and Policy Analyst",104000
"Deputy Courtroom Clerk",93497
"Senior Transportation Planner",134497
"Legal Content Analyst",102000
"Transit Planner",121497
"Senior Product Marketing Manager",350000
"Accessibility Engineer",182000
"Acquistions and Development Manager",119000
"Digital Inventory Analyst",88497
"Analytical Linguist",158497
"Animal Control Officer",96405
"Aquatics Director",80497
"Assistant Film Editor",120000
"Associate Director of Philanthropy Operations",128497
"Director of Federal Affairs",117497
"Backend Software Engineer",163497
"Grocery Department Manager",33150
"Bar Director",97000
"Sales floor department supervisor",77000
"Candidate Experience Specialist",83497
"Case Team Leader",163497
"Environmental Health and Safety, and Emergency Management Lead",147400
"Chief Program Officer",133497
"Civil Rights Lawyer",115497
"Beauty Consultant",38947
"Whiskey historian ",57000
"Conservatory Production Manager",83497
"Cyber Threat Intelligence Analyst",190000
"Developer Community Manager",176000
"Director of Customer Service",291994
"International Programs Manager",67577
"Legal Program Associate ",67997
"DSP Engineer",155000
Events,80497
"Junior Developer ",39997
"Financial Risk and compliance lead",170000
"Sr. Strategist",97000
"Food Safety Coordinator",98497
"Head of Developer Relations",178497
"Head of People",135000
"HR Benefits Analyst",120000
"HR Operations and Strategy",134200
"Monitoring and Evaluation Manager",44447
"Information Security Specialist",177497
"Internal Communications ",223000
"Journalist ",257994
"Lead Recruiting Coordinator",106497
"Litigation Legal Secretary",107500
"Localization Quality Manager",72900
"Manager of Data Engineering",103497
"Manager, Procurement Operations",125400
"Math Specialist",87500
"Project Technical Engineer",61497
"Portfolio Analyst",130000
"Product Content Lead",168497
"Product Data Analyst",156497
"Program Manager, Foundation and CSR",154000
"Senior BI Developer",163497
"Project Organizer",75297
"Senior Fund Accountant ",117000
"Senior HR Business Partner",298875
"Sales Strategy Analyst",236500
"Science Manager",73497
"Senior Analytics Engineer",144850
"Teacher with TLR",51497
"Senior User researcher",73497
"Senior Manager, Community Engagement",121000
"Senior Manager, Workplace Programs",148500
"Assistant Manager and Shift Supervisor",60000
"Senior Software Application Engineer",239000
"Senior Product Specialist",348991
"Senior Regional Director ",69000
"Senior Strategy Analyst ",99000
"Vice President, Learning and Development",173497
"Site Manager",129997
"Software Engineer, Infrastructure",188000
"Sr. Manager, Community",190000
"Staff Data Scientist",185900
"Supplier Relationship Manager",167000
"Supply Strategy",170000
"Survey Methodologist",93497
"Sr. Executive Administrator",75100
"User Operations associate",60997
"User Operations Senior Associate",61497
"VP Analytics",108497
"Workforce Development Assistant Manager",80497
"Workplace Operations Lead",101497
"Sr. Executive Assistant",231769
"Staff Editor/Writer",97497
"Sr. Manager of insights",190000
"Administrative assistant/ school facilities consultant ",57177
"Lower School Science Teacher",105497
"Worker Compensation Case Manager",63497
"Museum Mountmaker",85497
"Propulsion Engineer ",159000
"Adoptions Client Care Supervisor ",63916
"Senior Corporate Counsel ",161000
"Cyber Threat Analyst",170000
"Digital Fundraising Manager",88497
"Director of Product Design and Development ",200000
"E-Commerce specialist ",72000
"Engineer ",225000
Illustrator,97497
"Certified Optical Supervisor",56745
"Marketing Event Coordinator",106497
"People Operations Manager ",180000
"Sailing Instructor",55097
"E-Commerce Merchandiser",56000
"Senior eLearning Developer",178000
"Senior Project Accountant ",74150
"Senior third party risk analyst",106050
"UX researcher ",127000
"Tax Associate II",98500
"Vice Principal ",128497
"Deputy County Counsel",149497
"Assistant Deputy Director",168497
"Diversity Senior Program Manager",192000
"Grants and Contracts Manager",97100
"Senior Deliverablity Consultant",330000
