Overall_Experience,Job_Title,Total_compensation
"5-7 years","Reference Librarian",103497
"5-7 years","Regional Admissions Counselor",63497
"5-7 years","Regional Safety Manager",140000
"5-7 years","Registered Client Services Associate",47000
"5-7 years","Registered client services Associate ",46000
"5-7 years","Registered Kinesiologist",57497
"5-7 years","Registered Nurse",826804
"5-7 years","Registration and Enrollment of Childcare Programs/Employees",16697
"5-7 years","Registration coordinator",41497
"5-7 years","Registration Executive",28900
"5-7 years",Registrer,51537
"5-7 years","Regulatory Affairs",90000
"5-7 years","Regulatory affairs manager",203100
"5-7 years","Regulatory affairs manager ",143750
"5-7 years","Regulatory counsel",133497
"5-7 years","Rehab Director",88497
"5-7 years","Relationship Manager",180000
"5-7 years","Release Manager",130997
"5-7 years","Rental Assistance Specialist",47944
"5-7 years",reporter,315091
"5-7 years","Reporting Administrator",45300
"5-7 years","Reporting Analyst",67497
"5-7 years","Reporting Solutions Analyst",81997
"5-7 years","Research Administrator",73497
"5-7 years","Research Advisor ",135497
"5-7 years","Research Analyst",518271
"5-7 years","Research Analyst ",70497
"5-7 years","Research and Data Analyst",62000
"5-7 years","Research and Development Engineer",109497
"5-7 years","Research and Instruction Librarian",68497
"5-7 years","Research and Project Coordinator",78497
"5-7 years","Research Assistant",295485
"5-7 years","Research Assistant II",51097
"5-7 years","Research Assistant Professor",262491
"5-7 years","Research Associate",817132
"5-7 years","Research Attorney",88497
"5-7 years","Research Civil Engineer",85000
"5-7 years","Research Communication Partner",77997
"5-7 years","Research Coordinator",143997
"5-7 years","Research Development Coordinator",58497
"5-7 years","Research Development Specialist",95497
"5-7 years","Research Director",120750
"5-7 years","Research Engineer",93497
"5-7 years","Research Executive",47497
"5-7 years","Research Fishery Biologist",88497
"5-7 years","Research Grants Administrator",21900
"5-7 years","Research Integrity Officer",44667
"5-7 years","Research Librarian",60750
"5-7 years","Research Manager",812538
"5-7 years","Research Manager ",54747
"5-7 years","Research Officer",93497
"5-7 years","Research Planning Consultant",90997
"5-7 years","Research Programmer",83497
"5-7 years","Research Project Manager",77000
"5-7 years","Research Scientist",1187508
"5-7 years","Research Scientist and Lab Manager",61497
"5-7 years","Research Scientist and Program Manager",120497
"5-7 years","Research Specialist",89497
"5-7 years","Research Specialist ",61497
"5-7 years","Research Specialist Associate",55497
"5-7 years","Research Specialist/Data Analyst",75497
"5-7 years","Research Technician II",85497
"5-7 years",Researcher,328988
"5-7 years","Researcher III",49097
"5-7 years","Residency Coordinator",55700
"5-7 years","Resident Director",48497
"5-7 years","resident physician",150334
"5-7 years","Resolution Analyst",51760
"5-7 years","Resource specialist ",40000
"5-7 years","Resources Coordinator",73497
"5-7 years","Restaurant Assistant General Manager",65000
"5-7 years","Restaurant Manager",73497
"5-7 years","Restaurant Manager ",45000
"5-7 years","Restructuring Consultant",205000
"5-7 years","Retail Channel Manager",66000
"5-7 years","Retail Communications Lead",45497
"5-7 years","Retail Launch specialist",97497
"5-7 years","Retail Sales Sepcialist",52289
"5-7 years","Retention Specialist and Coordinator for Academic Programs",61497
"5-7 years","Revenue Manager",66200
"5-7 years","Revenue Manager ",105997
"5-7 years","RF System Engineer",113497
"5-7 years","Risk Analyst",142000
"5-7 years","Risk Manager",139500
"5-7 years",RN,162330
"5-7 years","RN - Nurse Supervisor",99497
"5-7 years","RN Quality Reviewer",72200
"5-7 years","RPA Developer",122697
"5-7 years","Safety Specialist",81000
"5-7 years","Safety, Health, and Environmental Manager",115000
"5-7 years","Sales and Marketing Assistant",55097
"5-7 years","Sales and Marketing Assistant, Realtor",41400
"5-7 years","Sales and Marketing Manager",45500
"5-7 years","Sales and Outreach Manager",68497
"5-7 years","Sales Associate ",49220
"5-7 years","Sales Coordinator",54500
"5-7 years","Sales Development Representative",100000
"5-7 years","Sales Director",51000
"5-7 years","Sales Enablement Manager",118497
"5-7 years","Sales Engineer",270000
"5-7 years","Sales Manager",282000
"5-7 years","Sales Operatins Manager",85000
"5-7 years","Sales Operations Associate",56000
"5-7 years","Sales Operations Manager ",110000
"5-7 years","Sales Representative",45497
"5-7 years","Sales Strategy Analyst",169000
"5-7 years","Sales Strategy Manager",102000
"5-7 years","Sales Support Analyst",55000
"5-7 years","Sales Support Senior Specialist",110000
"5-7 years","Salesforce Administrator",257897
"5-7 years","Salesforce Administrator ",67200
"5-7 years","Salesforce Developer",95000
"5-7 years","SALT Teaching Assistant",32497
"5-7 years","Sanitation Manager",117000
"5-7 years","SAP Support Specialist",88797
"5-7 years","Satellite Systems Engineer",103000
"5-7 years","Scan Based Trading Analyst",64997
"5-7 years","Schedule Planner",63883
"5-7 years","Scheduling Officer",70497
"5-7 years","Scholarship Advisor",62000
"5-7 years","School Library Assistant/Shelver",60047
"5-7 years","School Psychologist",61497
"5-7 years","School Science Technician",41197
"5-7 years","School Social Worker",79497
"5-7 years","Science Policy Fellow",102809
"5-7 years","Science Program Specialist",48497
"5-7 years","Science Teacher (Public High School)",54000
"5-7 years","Science Video Producer",83497
"5-7 years","Science Writer",103497
"5-7 years","Scientific Aid",40497
"5-7 years","Scientific Director",125000
"5-7 years",Scientist,971894
"5-7 years","Scientist I",119000
"5-7 years","Scientist II",66200
"5-7 years","Se Implementation consultant",59257
"5-7 years","Search Analyst",38497
"5-7 years","Secondary School Educator",88497
"5-7 years","Secondary Teacher",179073
"5-7 years",Secretary,45497
"5-7 years","Section Relationship Manager",71497
"5-7 years","Security Analyst",130997
"5-7 years","Security Automation Engineer",104497
"5-7 years","Security Engineer",178500
"5-7 years","Segment Producer",93497
"5-7 years","semiconductor manufacturing engineer",90497
"5-7 years","Senior Account Executive",169497
"5-7 years","Senior Account Executive ",59600
"5-7 years","Senior Accountant",383769
"5-7 years","Senior Accountant ",105000
"5-7 years","Senior accounting analyst",92000
"5-7 years","Senior Aditor",56497
"5-7 years","Senior Administrative Analyst",71860
"5-7 years","Senior Administrative Assistant",184497
"5-7 years","Senior Administrative Assistant ",75497
"5-7 years","Senior Administrator ",86000
"5-7 years","Senior Admissions Advisor",61713
"5-7 years","Senior Advisor",97497
"5-7 years","Senior Analyst",1726479
"5-7 years","Senior Analyst ",165220
"5-7 years","Senior Analyst (Digital Marketing)",100000
"5-7 years","Senior Analyst of Program Research",85497
"5-7 years","Senior Analyst, Business Transformation Portfolio Lead",108497
"5-7 years","Senior Analyst, Sourcing",89000
"5-7 years","Senior Analytics Consultant",87000
"5-7 years","Senior Applications Architect",134000
"5-7 years","Senior Architect",76497
"5-7 years","Senior Art Director",77497
"5-7 years","Senior Assistant Attorney General",89497
"5-7 years","Senior Assistant Director",66497
"5-7 years","Senior Assistant Economist",49287
"5-7 years","Senior Assistant to the President",100900
"5-7 years","Senior Associate",1148169
"5-7 years","Senior Associate ",442784
"5-7 years","Senior Associate - Audit",83250
"5-7 years","Senior Associate Actuary",142500
"5-7 years","Senior associate, annual giving ",86297
"5-7 years","Senior Associate, Consulting Services",82500
"5-7 years","Senior Associate, Donor Communications",80497
"5-7 years","Senior Audit Manager - Investment Management",102000
"5-7 years","Senior Auditor",169898
"5-7 years","Senior Biostatistician",154000
"5-7 years","Senior Bookkeeper",51250
"5-7 years","Senior Business Analyst",320591
"5-7 years","Senior Business Development Manager",102000
"5-7 years","Senior Business Management Coordinator",78500
"5-7 years","Senior Business Systems Analyst",115392
"5-7 years","Senior Buyer",83497
"5-7 years","Senior Channel Manager",141450
"5-7 years","Senior Client Advisor",55500
"5-7 years","Senior Client Services Manager",95000
"5-7 years","Senior Client Success Manager",125000
"5-7 years","Senior Cloud Engineer",140000
"5-7 years","Senior Communications Advisor",82919
"5-7 years","Senior Communications Associate",78027
"5-7 years","Senior Communications Manager",179294
"5-7 years","Senior Communications Specialist",161497
"5-7 years","Senior Community Organizer",42000
"5-7 years","Senior Compliance Analyst",75000
"5-7 years","Senior Compliance Associate ",77000
"5-7 years","Senior Compliance Coordinator ",70497
"5-7 years","Senior Consultant",703494
"5-7 years","Senior Content Editor",164497
"5-7 years","Senior Content Producer",82497
"5-7 years","Senior Content Writer ",37000
"5-7 years","Senior Copywriter",85300
"5-7 years","Senior Corporate Communications Specialist",82852
"5-7 years","Senior Cost Accountant",83600
"5-7 years","Senior Costing Analyst",83537
"5-7 years","Senior Counsel",258497
"5-7 years","Senior Counsel ",185000
"5-7 years","Senior Credit Risk Analyst",93497
"5-7 years","Senior Cryogenic Equipment Engineer",54000
"5-7 years","Senior Customer Service Representative",53017
"5-7 years","Senior Customer Success Manager",95500
"5-7 years","Senior Dat Scientist",180000
"5-7 years","Senior Data Analyst",784494
"5-7 years","Senior Data Analyst ",159500
"5-7 years","Senior Data and Policy Specialist",93497
"5-7 years","Senior Data Architect",115000
"5-7 years","Senior Data Quality Specialist",123497
"5-7 years","Senior Data Scientist",1593488
"5-7 years","Senior Decision Scientist",109000
"5-7 years","Senior Department Manager",61500
"5-7 years","Senior Design Architect ",290000
"5-7 years","Senior Developer",123497
"5-7 years","Senior Developer ",135000
"5-7 years","Senior Developer Advocate",336000
"5-7 years","Senior Digital Consultant ",63497
"5-7 years","Senior Digital Marketing Executive ",32300
"5-7 years","Senior Digital Media Coordinator",60497
"5-7 years","Senior Digital Product Designer",108000
"5-7 years","Senior Digital Strategist",75500
"5-7 years","Senior Director of HR",135000
"5-7 years","Senior Director of Marketing",71000
"5-7 years","Senior Director, Growth and Strategy",118497
"5-7 years","Senior Donor Advisor",88497
"5-7 years","Senior Ecommerce Manager",133000
"5-7 years","Senior economist ",143497
"5-7 years","Senior Editor",422291
"5-7 years","Senior EHS Analyst",98497
"5-7 years","Senior Electrical Engineer",178497
"5-7 years","Senior Email Marketing Manager",118497
"5-7 years","Senior Embedded Engineer",148497
"5-7 years","Senior Employee Communications Specialist",75297
"5-7 years","Senior Engineer",402994
"5-7 years","Senior Engineer I",222497
"5-7 years","Senior Environmental Advisor",148497
"5-7 years","Senior Environmental Scientist",123497
"5-7 years","Senior Examiner (Claims)",91000
"5-7 years","Senior Executive",51297
"5-7 years","Senior Executive Assistant",132000
"5-7 years","Senior executive search consultant",94500
"5-7 years","Senior Finance Manager",180000
"5-7 years","Senior Financial Analyst",529947
"5-7 years","Senior Financial Analyst ",78000
"5-7 years","Senior Front End Developer",148497
"5-7 years","Senior Frontend Engineer",180000
"5-7 years","Senior Fullstack Engineer",179000
"5-7 years","Senior GIS Analyst",119497
"5-7 years","Senior Global Content Strategist",102000
"5-7 years","Senior Governance Advisor",118497
"5-7 years","Senior Graphic Designer",480490
"5-7 years","Senior HR Analyst",173174
"5-7 years","Senior HR Generalist",89900
"5-7 years","Senior HR Operations Specialist",82297
"5-7 years","Senior I development engineer ",89600
"5-7 years","Senior Inbound Marketer",45497
"5-7 years","Senior Institutional Research Analyst",95497
"5-7 years","Senior Instructional Designer",89197
"5-7 years","Senior Internal Auditor",108000
"5-7 years","Senior Investigator",146497
"5-7 years","Senior IRB Analyst",81497
"5-7 years","Senior IT Administrator",123300
"5-7 years","Senior IT Project Manager",123497
"5-7 years","Senior IT Security Analyst",133497
"5-7 years","Senior JavaScript Developer",104497
"5-7 years","Senior Land Technician ",128997
"5-7 years","Senior lead auditor",80500
"5-7 years","Senior Librarian",76497
"5-7 years","Senior Linguistic Revisor",40497
"5-7 years","Senior Logistics Analyst",77000
"5-7 years","Senior Management Analyst",72497
"5-7 years","Senior Manager",628000
"5-7 years","Senior manager ",137000
"5-7 years","Senior Manager - Education Policy",87497
"5-7 years","Senior Manager events",85497
"5-7 years","Senior Manager of Ops Strategy",169000
"5-7 years","Senior manager of quality assurance ",73497
"5-7 years","Senior Manager, Communications",92000
"5-7 years","Senior Manager, External Affairs",53497
"5-7 years","Senior Manager, Finance",155000
"5-7 years","Senior Manager, Fundraising",79000
"5-7 years","Senior Manager, Global Compensation",109000
"5-7 years","Senior Manager, Medical Affairs",152000
"5-7 years","Senior Manager, Network",102000
"5-7 years","Senior Manager, Sales Operations",166497
"5-7 years","Senior Manager, Training operations ",150000
"5-7 years","Senior Managing Consultant ",105000
"5-7 years","Senior Manufacturing Engineer",107800
"5-7 years","Senior Marketer",75400
"5-7 years","Senior Marketing Administrator",65200
"5-7 years","Senior Marketing and Communications Coordinator",63497
"5-7 years","Senior Marketing Coordinator",57189
"5-7 years","Senior Marketing data specialist",60497
"5-7 years","Senior Marketing Executive ",43497
"5-7 years","Senior Marketing Manager",270697
"5-7 years","Senior Marketing Strategy Analyst",121000
"5-7 years","Senior Mechanical Engineer",143497
"5-7 years","Senior Media Manager ",90497
"5-7 years","Senior Medical Writer",233000
"5-7 years","Senior Network Analyst",75497
"5-7 years","Senior Nuclear  Manufacturing Specialist",81997
"5-7 years","Senior Online Sales Manager",76000
"5-7 years","Senior Operational Auditor",85500
"5-7 years","Senior Operations Associate",78497
"5-7 years","Senior Operations Engineer",164000
"5-7 years","Senior Operations Financial Analyst",110000
"5-7 years","Senior organizer",88497
"5-7 years","Senior paid ads manager",73500
"5-7 years","Senior paralegal",76000
"5-7 years","Senior Physicist",48000
"5-7 years","Senior Policy Adviser",116306
"5-7 years","Senior policy advisor",603070
"5-7 years","Senior Policy Advisor ",99994
"5-7 years","Senior policy analyst",308791
"5-7 years","Senior Policy Specialist",65800
"5-7 years","Senior process engineer",337497
"5-7 years","Senior Procurement Advisor",141497
"5-7 years","Senior Product Designer",133497
"5-7 years","Senior Product Manager",290387
"5-7 years","Senior Product Marketing Manager",350000
"5-7 years","Senior Product Owner",141500
"5-7 years","Senior Product Specialist",130497
"5-7 years","Senior Production Controller",34500
"5-7 years","Senior Production Designer",73497
"5-7 years","Senior Professional Research Assistant",85497
"5-7 years","Senior Program Associate ",88497
"5-7 years","Senior Program Management Associate",56000
"5-7 years","senior program manager",540634
"5-7 years","Senior program manager ",131000
"5-7 years","Senior Program Officer",58500
"5-7 years","Senior program officer ",75997
"5-7 years","Senior Project Advisor",114997
"5-7 years","Senior Project Engineer",122160
"5-7 years","Senior Project Manager",734597
"5-7 years","Senior project manager ",227500
"5-7 years","Senior Project Officer",46137
"5-7 years","Senior Public Relations and Public Affairs Specialist and Account Manager",74497
"5-7 years","Senior Publicist",64000
"5-7 years","Senior QA Engineer",246500
"5-7 years","Senior QC analyst",27100
"5-7 years","Senior Quality Control Analyst",155200
"5-7 years","Senior Quality Control Chemist",134240
"5-7 years","Senior Quality Engineer",123497
"5-7 years","Senior Quality Technician",51000
"5-7 years","Senior Quantitative Analyst",100197
"5-7 years","Senior Records Clerk",57397
"5-7 years","Senior Recruiter",210000
"5-7 years","Senior Regional Director ",69000
"5-7 years","Senior Regulatory Affairs Specialist",118000
"5-7 years","Senior Reporter",248197
"5-7 years","Senior Research Analyst",426891
"5-7 years","Senior Research Applications Developer",66497
"5-7 years","Senior Research Assistant",61497
"5-7 years","Senior Research Assistant ",62997
"5-7 years","Senior research associate ",78497
"5-7 years","Senior Research Coordinator",74497
"5-7 years","Senior Research Data Analyst",85000
"5-7 years","Senior Research Economist",76197
"5-7 years","Senior Research Fellow/Assistant Professor",54497
"5-7 years","Senior Research Scientist",344001
"5-7 years","Senior Research Technician",55076
"5-7 years","Senior Researcher",365953
"5-7 years","Senior Reward Manager",106500
"5-7 years","Senior sales executive",121022
"5-7 years","Senior Scientist",336991
"5-7 years","Senior Security Analyst",395994
"5-7 years","Senior Security Engineer",148497
"5-7 years","Senior Settlements Analyst",120000
"5-7 years","Senior Site Reliability Engineer",175000
"5-7 years","Senior Social Insights Manager",99000
"5-7 years","Senior Social Media Manager",73497
"5-7 years","Senior Software Application Engineer",239000
"5-7 years","Senior Software Consultant",126497
"5-7 years","Senior software developer",78497
"5-7 years","Senior software development engineer",183497
"5-7 years","Senior Software Engineer",4135975
"5-7 years","Senior Software Engineer ",47000
"5-7 years","Senior Solicitor",117997
"5-7 years","Senior specialist design software architect",150000
"5-7 years","Senior staff engineer",213497
"5-7 years","Senior Strategic Accounts Lead",130000
"5-7 years","Senior Strategist",392394
"5-7 years","Senior strategy manager",120000
"5-7 years","Senior Student Recruitment Officer",102000
"5-7 years","Senior Student Services Specialist",58274
"5-7 years","Senior Support Engineer",122000
"5-7 years","Senior Surface Mount Process Engineer",100997
"5-7 years","Senior Survey Analyst",85497
"5-7 years","Senior Sustainability Analyst",115000
"5-7 years","Senior Systems Analyst",87497
"5-7 years","Senior Systems Consultant",153497
"5-7 years","Senior systems engineer",212597
"5-7 years","Senior Tax Accountant",88497
"5-7 years","Senior Tax Accountant ",239487
"5-7 years","Senior Tax Analyst",112997
"5-7 years","Senior tax associate ",50997
"5-7 years","Senior Technical Data Analyst",168497
"5-7 years","Senior Technical Professional",112000
"5-7 years","Senior Technical Sales Consultant",36897
"5-7 years","Senior Technical Sales Engineer",109000
"5-7 years","Senior Technical Writer",192803
"5-7 years","Senior Technician",82497
"5-7 years","Senior Technician (Field service and remote)",73000
"5-7 years","Senior Test Engineer",113497
"5-7 years","Senior Transportation Engineer",89000
"5-7 years","Senior Transportation Planner",134497
"5-7 years","Senior Treasury Analyst",78497
"5-7 years","Senior Trial Attorney",94497
"5-7 years","Senior User researcher",73497
"5-7 years","Senior User Researcher and Service Designer",103000
"5-7 years","Senior UX Designer",241497
"5-7 years","Senior UX Engineer",81400
"5-7 years","Senior UX Researcher",130000
"5-7 years","Senior Video Journalist",128497
"5-7 years","Senior Web Developer",130000
"5-7 years","Senior Web Strategist",102497
"5-7 years","Senior Website Strategist ",118800
"5-7 years","Senior Wifi Engineer",178497
"5-7 years","Senior Writer",84000
"5-7 years","SEO Coordinator",58497
"5-7 years","SEO Director",98497
"5-7 years","SEO Specialist",89500
"5-7 years",Server,26497
"5-7 years","Service Delivery Executive",35152
"5-7 years","Service Desk Analyst",55000
"5-7 years","Service Desk Lead",61497
"5-7 years","Service Reliability Specialist",67800
"5-7 years","Service Supervisor ",82000
"5-7 years","Services Manager",155000
"5-7 years","Services Sales Manager",108000
"5-7 years","Shareholder Engagement Specialist",30500
"5-7 years","Shelter Coordinator",61337
"5-7 years","Shift Leader (Manager)",35750
"5-7 years","Shipping Manager ",71500
"5-7 years","Short Term Consultant",104497
"5-7 years","Site Contracts",100997
"5-7 years","Site Engineer (Grad)",96000
"5-7 years","site reliability engineer",489394
"5-7 years","Site Reliability Engineer ",118497
"5-7 years","Social Community Specialist",64497
"5-7 years","Social Entrepreneur ",111700
"5-7 years","Social Media and Content Coordinator",63497
"5-7 years","Social Media and Website Editor",43497
"5-7 years","Social Media Associate",78497
"5-7 years","Social Media Content Creator ",86497
"5-7 years","Social Media Coordinator",60497
"5-7 years","Social Media Customer Service",57497
"5-7 years","Social Media Editor",88497
"5-7 years","Social Media Lead",101497
"5-7 years","Social Media Manager",517470
"5-7 years","Social Media Manager ",73497
"5-7 years","Social Media Specialist",247494
"5-7 years","Social media strategist ",48497
"5-7 years","Social Media Supervisor",79500
"5-7 years","Social science research analyst",112603
"5-7 years","Social Strategist",78497
"5-7 years","Social Studies and Technology Teacher",30697
"5-7 years","Social Supervisor",76400
"5-7 years","Social Worker",291491
"5-7 years","Social Worker ",136994
"5-7 years","Social Worker for a State Agency",80497
"5-7 years","Software Consultant",98497
"5-7 years","Software Developer",2571560
"5-7 years","Software Developer and Consultant",98000
"5-7 years","Software Developer II",95350
"5-7 years","Software Developer in Test",138497
"5-7 years","Software development engineer",350497
"5-7 years","Software Development Engineer 2",240000
"5-7 years","Software Development Engineer II",157552
"5-7 years","Software Engineer",10608949
"5-7 years","Software Engineer for Safety Critical and Fault Tolerant Systems",109497
"5-7 years","Software Engineer II",2456443
"5-7 years","Software Engineer III",578497
"5-7 years","Software Engineer L2",80000
"5-7 years","Software Engineer Team Lead",112000
"5-7 years","Software Engineer, Infrastructure",188000
"5-7 years","Software Engineer, Test II",102000
"5-7 years","Software Engineering Instructor",78000
"5-7 years","Software Engineering Manager",79000
"5-7 years","Software Implementation Analyst",75000
"5-7 years","Software Implementation Manager",99000
"5-7 years","Software Product Manager",110000
"5-7 years","Software QA Analyst",107000
"5-7 years","Software Support",73497
"5-7 years",Solicitor,181994
"5-7 years","Solicitor ",83497
"5-7 years","Solid waste technician ",70497
"5-7 years","Solution Architect",130000
"5-7 years","Solution Consultant",55000
"5-7 years","Solution Engineer",110000
"5-7 years","Solutions Architect",88497
"5-7 years","Solutions Consultant",168800
"5-7 years","Sourcing Analyst",80500
"5-7 years","Sourcing and Procurement Consultant",110000
"5-7 years","Sourcing Manager",97000
"5-7 years","Special Assistant",67607
"5-7 years","Special Collections Cataloging Specialist",66497
"5-7 years","Special Education Paraprofessional",32497
"5-7 years","Special education teacher",202793
"5-7 years","Special Events Associate",69497
"5-7 years","Special Events Coordinator",79537
"5-7 years","Special Projects Coordinator",96497
"5-7 years",Specialist,259997
"5-7 years","Specialist ",143000
"5-7 years","SPED teacher",54500
"5-7 years","Sr Art Director",113497
"5-7 years","Sr Customer Success Manager",132000
"5-7 years","Sr. Account Executive",100497
"5-7 years","Sr. Analyst",97000
"5-7 years","Sr. Analyst, HR Technology",99000
"5-7 years","Sr. Associate, Project Manager",138297
"5-7 years","Sr. Business Affairs Manager ",133497
"5-7 years","Sr. Business Analyst",103497
"5-7 years","Sr. Compliance Analyst ",78800
"5-7 years","Sr. Conference Planner",73297
"5-7 years","Sr. Credit Analyst",61178
"5-7 years","Sr. Customer Manager",155000
"5-7 years","Sr. Data Analyst",80000
"5-7 years","Sr. Data consultant",115300
"5-7 years","Sr. DevOps Engineer",205000
"5-7 years","Sr. Executive Assistant",133497
"5-7 years","Sr. Financial Analyst",103497
"5-7 years","Sr. Financial Planner",106000
"5-7 years","Sr. Health and Safety Coordinator ",124500
"5-7 years","Sr. HR Generalist",85257
"5-7 years","Sr. Implementation manager",168497
"5-7 years","Sr. In house counsel",149000
"5-7 years","sr. info security consultant",109000
"5-7 years","Sr. Manager",120000
"5-7 years","Sr. Mechanical Engineer ",119997
"5-7 years","Sr. Process Engineer",86160
"5-7 years","Sr. Process Engineer ",137000
"5-7 years","Sr. Process Engineer / Labs Supervisor",97497
"5-7 years","Sr. Product Manager",250000
"5-7 years","Sr. Program Manager",177120
"5-7 years","Sr. Project Manager",106000
"5-7 years","Sr. Quality Systems Document Specialist",94000
"5-7 years","Sr. Representative",70340
"5-7 years","Sr. Risk Specialist - Cybersecurity ",105000
"5-7 years","Sr. Software Developer",163497
"5-7 years","Sr. Software Engineer",345000
"5-7 years","Sr. Specialist, Talent Acquisition, vendor managment",73497
"5-7 years","Sr. Staff Engineer",160000
"5-7 years","Sr. Strategist",97000
"5-7 years","Sr. Technical Specialist",72800
"5-7 years","Sr. UX Researcher",215000
"5-7 years",SRE,145000
"5-7 years","Staff Accountant",318340
"5-7 years","Staff accountant ",45000
"5-7 years","Staff Accountant I",83560
"5-7 years","Staff attorney",1166615
"5-7 years","Staff Attorney ",150994
"5-7 years","Staff Data Scientist",185900
"5-7 years","Staff Engineer",157500
"5-7 years","Staff Engineer ",149000
"5-7 years","Staff Environmental Engineer (EIT)",63500
"5-7 years","Staff Geologist",52500
"5-7 years","Staff Product Analyst",163497
"5-7 years","Staff Regulatory Affairs Specialist",106920
"5-7 years","Staff Scientist/Engineer I",91550
"5-7 years","Staff Software Engineer",296194
"5-7 years","Staff Structural Enginner",83000
"5-7 years","Staff Therapist",58497
"5-7 years","Staff writer",250511
"5-7 years","Staff writer ",71497
"5-7 years","Staffing Coordinator",28980
"5-7 years","State Field Director",83497
"5-7 years","State Program Director",67497
"5-7 years","Statistical Programmer",101000
"5-7 years",Statistician,95000
"5-7 years","Sterile Compounding Technician",54997
"5-7 years","Sterile Processing Technician ",34100
"5-7 years","Steward ",82500
"5-7 years","Store Director",66000
"5-7 years","Store Manager",107500
"5-7 years","Strategic Account Manager",115000
"5-7 years","Strategic Analyst",132497
"5-7 years","Strategic consultant ",97000
"5-7 years","Strategic Data Manager",112000
"5-7 years","Strategic Programs Manager",163497
"5-7 years","Strategic Projects Manager",91497
"5-7 years","Strategic Sourcing Buyer",91000
"5-7 years","Strategic Writer",74800
"5-7 years",Strategist,51000
"5-7 years","Strategist ",58497
"5-7 years","Strategy Adviser",53504
"5-7 years","Strategy Director",105497
"5-7 years","Structural Engineer",142000
"5-7 years","Structural engineer ",98497
"5-7 years","Structural Engineer II",70500
"5-7 years","Student Affairs Professional II",55997
"5-7 years","Student Funding Administrator",43587
"5-7 years","Student Services Professional III",69497
"5-7 years","Student Success Center Coordinator",58497
"5-7 years","Student Success Coach ",64497
"5-7 years","Student Success Librarian",67497
"5-7 years","Study Abroad Advisor",64497
"5-7 years","Study Abroad Coordinator",52500
"5-7 years","Subject Librarian",89105
"5-7 years","Subs Payable Administrator",44000
"5-7 years","Success Coach",67497
"5-7 years","Supervising Attorney",90000
"5-7 years","Supervising producer",75000
"5-7 years",Supervisor,476628
"5-7 years","Supervisor, Manufacturing Engineering",150000
"5-7 years","Supervisory Asylum Officer",138497
"5-7 years","Supervisory Paralegal Specialist",85497
"5-7 years","Supervisory Social Insurance Specialist ",108020
"5-7 years","Supplier Diversity Coordinator",64800
"5-7 years","Supplier Quality Engineer",107097
"5-7 years","Supply Chain Assocaite Director",240000
"5-7 years","Supply Chain Buyer/Planner",66000
"5-7 years","supply chain manager",18000
"5-7 years","Support Analyst",50000
"5-7 years","Support Engineer",109900
"5-7 years","Support Manager",79000
"5-7 years","Supporter Operations",64997
"5-7 years","Surety Underwriter",130300
"5-7 years","Survey Methodologist",93497
"5-7 years","Survey methodologist ",84497
"5-7 years","Sustainability Analyst ",90574
"5-7 years","Sustainability Consultant",106100
"5-7 years","Sustainability executive",43497
"5-7 years","Sustainability Manager",95200
"5-7 years","Sustainability Officer",111497
"5-7 years","System Administrator",156994
"5-7 years","System Administrator ",96197
"5-7 years","System support analyst",110217
"5-7 years","Systems Analyst",93497
"5-7 years","Systems Architect",122497
"5-7 years","Systems Engineer",630002
"5-7 years","Systems Engineer I",93500
"5-7 years","Systems Engineer II",104652
"5-7 years","Talent Management Manager",128497
"5-7 years","Talent Management Specialist II",74000
"5-7 years","Talent operations associate",55000
"5-7 years","Tax Accountant - Senior Associate",102497
"5-7 years","Tax Analyst",84000
"5-7 years","Tax Analyst - Income and Property",91500
"5-7 years","Tax Associate II",98500
"5-7 years","Tax consultant ",78497
"5-7 years","Tax Manager",300497
"5-7 years","Tax Paraprofessional ",52250
"5-7 years","Tax Senior",85497
"5-7 years","Tax Senior II",75000
"5-7 years","Tax Specialist ",25380
"5-7 years",Teacher,1643825
"5-7 years","Teacher ",54963
"5-7 years","Teacher (Elementary School)",67497
"5-7 years","Teacher of History and Sixth Form transition lead",48497
"5-7 years","Teacher of MFL",45097
"5-7 years",Teacher-Humanities,62497
"5-7 years",Teacher-librarian,70497
"5-7 years","Teaching Fellow",102914
"5-7 years","Team Assistant ",38800
"5-7 years","Team Lead",167283
"5-7 years","Team Leader",115497
"5-7 years","Team Manager",42232
"5-7 years","Team Manager and policy analyst ",73817
"5-7 years","Team Member",37497
"5-7 years","Tech Consultant",84442
"5-7 years","Technical Account Manager",349797
"5-7 years","Technical Analyst",57000
"5-7 years","Technical Assistant",32797
"5-7 years","Technical Data Manager",107500
"5-7 years","Technical Engagement Manager",113497
"5-7 years","Technical Librarian",97497
"5-7 years","Technical Operations Manager",46777
"5-7 years","Technical Product Expert",132000
"5-7 years","Technical Product Manager",108497
"5-7 years","Technical Program Manager",175000
"5-7 years","Technical Program Manager II",143000
"5-7 years","Technical project manager",140497
"5-7 years","Technical project manager ",103497
"5-7 years","Technical Proposal Writer",95000
"5-7 years","Technical Recruiter",100000
"5-7 years","Technical Sales Engineer",170000
"5-7 years","Technical Sales Engineer ",85000
"5-7 years","Technical Sales Representative",115000
"5-7 years","Technical Scientist",80250
"5-7 years","Technical Services Engineer",122000
"5-7 years","Technical Services Librarian ",73497
